tissue,f_n_l,f_n_pl,f_ew,f_iw,f_a_pl,AR,LR
Adipose,0.853,0.0016,0.135,0.017,0.4,0.036,0.068
Bone,0.0174,0.0016,0.1,0.346,0.67,0.1,0.05
Brain,0.0391,0.0015,0.162,0.62,0.4,0.048,0.041
Gut,0.0375,0.0124,0.282,0.475,2.41,0.158,0.141
Heart,0.0135,0.0106,0.32,0.456,2.25,0.157,0.16
Kidney,0.0121,0.0240,0.273,0.483,5.03,0.13,0.137
Liver,0.0135,0.0238,0.161,0.573,4.56,0.086,0.161
Lung,0.0215,0.0123,0.336,0.446,3.91,0.212,0.168
Muscle,0.01,0.0072,0.118,0.63,1.53,0.064,0.059
Pancreas,0.0403,0.0090,0.12,0.664,1.67,0.06,0.06
Skin,0.0603,0.0044,0.382,0.291,1.32,0.277,0.096
Spleen,0.0071,0.0107,0.207,0.579,3.18,0.097,0.207
Thymus,0.0168,0.0092,0.15,0.626,2.3,0.075,0.075
RBCs,0.0012,0.0033,0,0.603,0.50,NA,NA
Plasma,0.0032,0.0021,NA,NA,NA,NA,NA
